Invoice ID,Tanggal,Customer type,Gender,Product line,Quantity,Total
382-25-8917,1/29/2019 12:25,Normal,Male,Fashion accessories,6,265.104
343-87-0864,1/3/2019 10:30,Member,Male,Health and beauty,1,79.674
687-15-1097,1/3/2019 19:17,Member,Female,Health and beauty,2,44.352
664-14-2882,1/30/2019 14:43,Member,Female,Home and lifestyle,5,55.2825
416-13-5917,1/30/2019 16:24,Normal,Female,Food and beverages,5,509.4075
556-72-8512,1/30/2019 20:47,Normal,Male,Home and lifestyle,1,24.108
423-80-0988,1/30/2019 19:42,Normal,Male,Sports and travel,2,160.44
862-29-5914,1/30/2019 17:08,Normal,Female,Sports and travel,1,23.499
283-26-5248,1/30/2019 20:23,Member,Female,Food and beverages,10,1034.46
226-71-3580,1/31/2019 12:02,Normal,Female,Sports and travel,9,224.4375
735-32-9839,1/31/2019 10:36,Member,Male,Fashion accessories,8,829.08
583-72-1480,1/31/2019 16:24,Member,Male,Electronic accessories,4,155.652
189-55-2313,1/31/2019 10:33,Normal,Female,Fashion accessories,10,652.89
672-51-8681,1/4/2019 18:19,Member,Female,Electronic accessories,9,629.8425
801-88-0346,1/5/2019 20:30,Normal,Female,Fashion accessories,3,239.589
628-34-3388,1/5/2019 20:54,Normal,Male,Fashion accessories,6,172.494
573-98-8548,1/5/2019 12:40,Member,Female,Fashion accessories,1,33.495
433-08-7822,1/5/2019 19:48,Normal,Female,Health and beauty,7,579.8415
834-25-9262,1/6/2019 12:12,Normal,Female,Fashion accessories,4,343.056
393-65-2792,1/6/2019 12:46,Normal,Male,Food and beverages,10,939.54
390-31-6381,1/7/2019 12:37,Normal,Male,Food and beverages,3,85.743
526-86-8552,1/7/2019 17:36,Member,Female,Home and lifestyle,10,229.11
232-16-2483,1/7/2019 12:28,Member,Female,Sports and travel,1,71.526
845-94-6841,1/8/2019 19:38,Member,Female,Food and beverages,9,688.716
631-34-1880,1/8/2019 19:09,Member,Male,Food and beverages,3,76.5765
189-08-9157,1/8/2019 16:17,Normal,Female,Fashion accessories,9,299.8485
192-98-7397,1/8/2019 14:11,Normal,Male,Fashion accessories,1,13.419
484-22-8230,1/8/2019 20:08,Member,Female,Fashion accessories,7,381.3915
750-57-9686,1/8/2019 13:48,Normal,Female,Home and lifestyle,4,190.596
663-86-9076,1/8/2019 15:57,Member,Female,Food and beverages,8,575.736
442-44-6497,1/8/2019 11:42,Member,Male,Home and lifestyle,3,175.0455
370-96-0655,1/9/2019 13:46,Normal,Female,Fashion accessories,6,310.716
554-42-2417,1/9/2019 13:45,Normal,Female,Sports and travel,10,1002.12
263-10-3913,1/9/2019 14:20,Member,Male,Fashion accessories,9,463.428
867-47-1948,1/9/2019 12:07,Normal,Female,Home and lifestyle,10,165.9
189-40-5216,1/9/2019 11:40,Normal,Male,Electronic accessories,7,708.3195
