Invoice ID,Tanggal,Customer type,Gender,Product line,Quantity,Total
775-72-1988,1/24/2019 15:05,Normal,Male,Home and lifestyle,5,384.72
789-23-8625,1/24/2019 11:45,Member,Male,Fashion accessories,3,293.643
510-79-0415,1/24/2019 19:20,Member,Female,Sports and travel,6,145.404
139-20-0155,1/24/2019 17:37,Member,Male,Electronic accessories,10,423.15
438-23-1242,1/24/2019 10:38,Normal,Male,Electronic accessories,7,557.718
569-71-4390,1/25/2019 14:29,Normal,Male,Sports and travel,2,45.927
283-79-9594,1/25/2019 13:30,Normal,Female,Food and beverages,7,356.5485
730-61-8757,1/25/2019 10:11,Member,Male,Health and beauty,4,214.746
268-03-6164,1/25/2019 16:28,Normal,Male,Health and beauty,1,100.9155
191-10-6171,1/25/2019 13:18,Normal,Female,Fashion accessories,7,291.207
261-12-8671,1/25/2019 19:39,Normal,Female,Fashion accessories,2,128.016
145-94-9061,1/25/2019 19:48,Normal,Female,Food and beverages,5,463.89
847-38-7188,1/26/2019 19:56,Normal,Female,Food and beverages,3,304.542
794-42-3736,1/26/2019 14:41,Normal,Male,Food and beverages,2,69.993
836-82-5858,1/26/2019 19:14,Member,Male,Health and beauty,9,655.5465
289-65-5721,1/26/2019 19:28,Normal,Female,Fashion accessories,2,170.877
641-43-2399,1/26/2019 20:23,Normal,Male,Home and lifestyle,4,107.31
539-21-7227,1/26/2019 17:45,Normal,Female,Sports and travel,5,270.585
452-04-8808,1/26/2019 15:17,Normal,Male,Electronic accessories,7,640.038
135-13-8269,1/26/2019 16:04,Member,Female,Food and beverages,2,165.648
316-55-4634,1/26/2019 12:45,Member,Male,Food and beverages,5,420.2625
173-82-9529,1/26/2019 14:51,Normal,Female,Fashion accessories,10,398.475
624-01-8356,1/27/2019 10:44,Normal,Female,Home and lifestyle,10,514.605
869-11-3082,1/27/2019 20:03,Member,Male,Health and beauty,4,403.872
390-80-5128,1/28/2019 17:58,Member,Female,Health and beauty,1,20.1075
544-55-9589,1/28/2019 11:51,Member,Female,Electronic accessories,10,225.015
222-42-0244,1/28/2019 13:53,Member,Female,Health and beauty,9,681.4395
430-53-4718,1/28/2019 15:46,Member,Male,Health and beauty,8,633.108
699-88-1972,1/28/2019 17:47,Normal,Male,Health and beauty,8,832.944
149-71-6266,1/28/2019 12:43,Member,Male,Sports and travel,9,737.7615
862-17-9201,1/29/2019 10:48,Normal,Female,Food and beverages,6,529.515
110-48-7033,1/29/2019 14:12,Member,Male,Fashion accessories,4,137.004
343-61-3544,1/29/2019 11:48,Member,Male,Sports and travel,10,280.035
552-44-5977,1/3/2019 19:08,Member,Male,Health and beauty,8,520.8
875-31-8302,1/3/2019 13:07,Normal,Male,Sports and travel,1,98.049
501-61-1753,1/3/2019 20:24,Normal,Female,Home and lifestyle,6,397.845
134-54-4720,1/30/2019 13:58,Normal,Female,Electronic accessories,8,356.328
182-69-8360,1/30/2019 13:32,Normal,Female,Electronic accessories,4,99.33
525-88-7307,1/31/2019 13:19,Member,Male,Sports and travel,1,79.611
532-59-7201,1/31/2019 14:04,Member,Male,Sports and travel,6,503.559
286-75-7818,1/31/2019 19:48,Normal,Male,Fashion accessories,2,145.068
239-36-3640,1/31/2019 13:44,Normal,Male,Electronic accessories,6,285.705
457-94-0464,1/31/2019 20:32,Member,Male,Electronic accessories,9,830.3715
525-09-8450,1/31/2019 15:12,Normal,Male,Electronic accessories,10,757.365
834-45-5519,1/31/2019 20:48,Normal,Female,Electronic accessories,4,180.6
656-16-1063,1/4/2019 13:24,Normal,Male,Sports and travel,3,146.223
279-74-2924,1/4/2019 19:40,Member,Male,Electronic accessories,1,75.7785
725-32-9708,1/4/2019 19:01,Member,Female,Fashion accessories,4,288.582
841-18-8232,1/5/2019 20:40,Normal,Female,Food and beverages,1,74.76
339-12-4827,1/5/2019 11:32,Member,Female,Fashion accessories,1,77.658
843-01-4703,1/5/2019 19:50,Member,Female,Home and lifestyle,9,334.341
826-58-8051,1/6/2019 19:46,Normal,Male,Home and lifestyle,4,261.198
729-06-2010,1/6/2019 11:18,Member,Male,Health and beauty,9,760.4415
109-28-2512,1/7/2019 15:01,Member,Female,Fashion accessories,6,614.943
889-04-9723,1/7/2019 12:20,Member,Female,Food and beverages,4,374.388
566-19-5475,1/7/2019 20:52,Normal,Male,Fashion accessories,7,352.5795
387-49-4215,1/8/2019 12:50,Member,Female,Sports and travel,3,152.775
767-97-4650,1/8/2019 11:59,Member,Female,Sports and travel,2,136.143
457-13-1708,1/8/2019 19:07,Member,Male,Fashion accessories,10,684.915
571-94-0759,1/8/2019 20:55,Member,Female,Food and beverages,10,783.3
241-96-5076,1/8/2019 12:58,Member,Female,Home and lifestyle,2,103.11
490-95-0021,1/8/2019 14:25,Member,Female,Food and beverages,10,348.705
343-75-9322,1/9/2019 16:34,Member,Female,Sports and travel,8,99.54
305-89-2768,1/9/2019 18:43,Member,Female,Home and lifestyle,3,68.985
